name,gender,height,weight,country_id
A Jesus Garcia,male,1.72,64
A Lam Shin,female,1.68,56
Aaron Brown,male,1.98,79
Aaron Cook,male,1.83,80
Aaron Gate,male,1.81,71
Aaron Royle,male,1.80,67
Aaron Russell,male,2.05,98
Aaron Younger,male,1.93,100
Aauri Lorena Bokesa,female,1.80,62
Ababel Yeshaneh,female,1.65,54
Abadi Hadis,male,1.70,63
Abbas Abubakar Abbas,male,1.75,66
Abbas Qali,male,,
Abbey D'Agostino,female,1.61,49
Abbey Weitzeil,female,1.78,68
Abbie Brown,female,1.76,71
Abbos Rakhmonov,male,1.61,57
Abbubaker Mobara,male,1.75,64
Abby Erceg,female,1.75,68
Abd Elhalim Mohamed Abou,male,2.10,88
Abdalaati Iguider,male,1.73,57
Abdalelah Haroun,male,1.85,80
Abdalla Targan,male,1.77,65
Abdel Aziz Mehelba,male,1.76,80
Abdelati El Guesse,male,1.90,72
Abdelaziz Merzougui,male,1.75,67
Abdelaziz Mohamed Ahmed,male,1.81,72
Abdelghani Demmou,male,1.85,75
Abdelhafid Benchabla,male,1.86,
Abdelhakim Amokrane,male,1.86,70
Abdelkader Chadi,male,1.78,
Abdelkadir Salhi,male,1.85,79
Abdelkebir Ouaddar,male,1.74,67
Abdelkhalek Elbanna,male,1.93,95
Abdellatif Mohamed Ahmed Mohamed,male,1.76,120
Abdelmajid El Hissouf,male,1.70,56
Abdelmalik Lahoulou,male,1.77,72
Abdelrahman Salah Orabi Abdelgawwad,male,1.85,
Abdelraouf Benguit,male,1.70,65
Abderrahmane Benamadi,male,1.83,90
Abderrahmane Mansouri,male,1.72,66
Abderrahmane Meziane,male,1.68,62
Abdi Hakin Ulad,male,1.75,57
Abdi Nageeye,male,1.65,54
Abdi Waiss Mouhyadin,male,1.60,60
Abdoul Khadre Mbaye Niane,male,1.90,90
Abdoulkarim Fawziya,female,1.80,67
Abdoullah Bamoussa,male,,
Abdoulrazak Issoufou Alfaga,male,2.07,98
Abdul Khalili,male,1.81,71
Abdul Omar,male,,
Abdul Wahab Zahiri,male,1.75,68
