event,sport_category
individual, 1
team, 1
100,2
200,2
400,2
800,2
1500,2
5000,2
10000,2
100_huddle, 2
110_huddle, 2
400_huddle, 2
3000_huddle, 2
3000 metres steeplechase
4x100_relay, 2
4x400_relay, 2
marathon, 2
20k_walk, 2
50k_walk, 2
high_jump, 2
pole_vauly, 2
long_jump, 2
triple_jump, 2
shot_put, 2
discus_throw, 2
hammer_throw, 2
javelin_throw, 2
decathlon, 2
heptathlon, 2

singles, 3
doubles, 3
mixed_doubles, 3

basket_ball, 4

bantam, 5
light_fly, 5
light_heavy, 5
light_welter, 5
fly, 5
light, 5
middle, 5
heavy, 5
super_heavy, 5
welter, 5

salome k1, 6
salome c2, 6
salome c1, 6
 
sprint k-1 200, 6
sprint k-1 500, 6
sprint k-2 500, 6
sprint k-4 500, 6

sprint c-1 200, 6
sprint c-1 1000, 6
sprint c-2 1000, 6

sprint k-1 1000, 6
sprint k-2 200, 6
sprint k-2 1000, 6
sprint k-4 1000, 6

road race, 7
time trial, 7
bmx, 7
cross-country, 7
keirin, 7
omnium, 7
sprint, 7
team pursuit, 7
team sprint, 7

3 m springboard, 8
10 m platform, 8
synchronized 3 m springboard, 8
synchronized 10 m platform, 8
